title_uuid,title_uid,title_node_id,title_format_paper,title_format_size,title_pub_freq,title_date,title_genre_1,title_genre_2,title_title_j,title_role_editor,title_imprint,title_pub_add,title_pub_city,title_pub_stat,title_pub_nat,title_collected,title_published,title_content_url
56,mam,pulpmags,pulp-paper,"ovr, (08.x11)",bi-monthly,1945,mys,ant,Mammoth Mystery,B.G. Davis; Raymond A. Palmer,Ziff-Davis Publishing Co.,540 N. Michigan Ave.; 185 N. Wabash Ave.,Chicago,IL,US,1,11,http://www.pulpmags.org/content/view/issues/mammoth-mystery.html
57,mas,pulpmags,pulp-paper,"std, (07.x10)",quarterly,1934,wes,adv,Masked Rider Western,Eugene A. Clancy,"Better Publications, Inc.",10 E. 40th St.,New York,NY,US,2,100,http://www.pulpmags.org/content/view/issues/masked-rider-western.html
58,mcl,contexts3,mixed-grade,"std, (07.x10)",monthly,1893,gen,ant,McClure's Magazine,S.S. McClure,S.S. McClure Co.,44-60 E. 23rd Street,New York,NY,US,1,444,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
59,mer,pulpmags,pulp-paper,"std, (07.x10)",monthly,1924,hum,rom,"Merry Magazine, The",Leslie Henson,"Amalgamated Press, Ltd.","Fleetway House, Farringdon St.",London,LO,UK,1,68,http://www.pulpmags.org/content/view/issues/merry-magazine.html
60,mun,contexts3,mixed-grade,"std, (07.x10)",monthly,1889,gen,ant,Munsey's Magazine,Robert H. Davis,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,1,590,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
63,ncw,contexts1,news-print,"qrt, (8.5x11)",weekly,1897,det,boy,Nick Carter Weekly,Frederic Van Rensselaer Dey,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,819,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
61,nlm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1941,rom,lov,New Love Magazine,Peggy Graves,"Fictioneers, Inc. (Popular Publications)",2256 Grove St.,Chicago,IL,US,1,126,http://www.pulpmags.org/content/view/issues/new-love-magazine.html
64,nlt,contexts2,slick-insert,"und, (05.x08)",irregular,1930,rom,sex,Night Life Tales,Harry Donenfeld,D.M. Publishing Co.,900 Market St.,Wilmington,DE,US,1,100,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
62,nsm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1911,ant,adv,New Story Magazine,A.L. Sessions,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,52,http://www.pulpmags.org/content/view/issues/new-story-magazine.html
65,nwr,pulpmags,pulp-paper,"std, (07.x10)",quarterly,1937,rom,adv,North West Romances,Jack O'Sullivan,"Glen-Kel Publishing Co., Inc. (Fiction House)",130 W. 42nd St.,New York,NY,US,1,61,http://www.pulpmags.org/content/view/issues/northwest-romances.html
66,out,pulpmags,pulp-paper,"std, (07.x10)",bi-monthly,1950,sff,adv,Out of this World Adventures,Donald A. Wollheim,"Avon Periodicals, Inc.",119 W. 57th St.,New York,NY,US,2,2,http://www.pulpmags.org/content/view/issues/out-of-this-world-adventures.html
67,peo,pulpmags,pulp-paper,"std, (07.x10)",monthly,1906,ant,det,People's Magazine,A.L. Sessions,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,2,279,http://www.pulpmags.org/content/view/issues/peoples-magazine.html
68,pep,contexts2,slick-insert,"und, (05.x08)",monthly,1926,sex,rom,Pep Stories,Natalie Messenger,"Narvel Publishing Co., Inc.",305 E. 46th St.,New York,NY,US,1,142,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
69,pla,pulpmags,pulp-paper,"std, (07.x10)",quarterly,1939,sff,fan,Planet Stories,Malcolm Reiss; W. Scott Peacock,Love Romances Inc. (Fiction House),670 Fifth Ave.,New York,NY,US,8,71,http://www.pulpmags.org/content/view/issues/planet-stories.html
70,pop,pulpmags,pulp-paper,"std, (07.x10)",monthly,1903,ant,adv,"Popular Magazine, The",Charles Agnew Maclean,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,13,612,http://www.pulpmags.org/content/view/issues/popular-magazine.html
73,ran,pulpmags,pulp-paper,"std, (07.x10)",fortnightly,1924,wes,rom,Ranch Romances,Fanny Ellsworth,"Warner Publications, Inc.",578 Madison Ave.,New York,NY,US,3,886,http://www.pulpmags.org/content/view/issues/ranch-romances.html
74,red,contexts3,mixed-grade,"std, (07.x10)",monthly,1903,ant,rom,"Red Book Magazine, The",Karl Edwin Harriman,"Red Book Corp., The",158-64 State St.,Chicago,IL,US,1,999,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
71,rmm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1906,rai,ant,"Railroad Man's Magazine, The",Freeman Hubbard; Robert H. Davis,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,25,692,http://www.pulpmags.org/content/view/issues/railroad-mans-magazine.html
75,rom,pulpmags,pulp-paper,"std, (07.x10)",monthly,1919,adv,rom,Romance,Arthur Sullivant Hoffman,"Ridgway Company, The",Spring & Macdougal St.,New York,NY,US,2,27,http://www.pulpmags.org/content/view/issues/romance.html
72,rst,pulpmags,pulp-paper,"std, (07.x10)",monthly,1932,rai,ant,Railroad Stories,Louis M. Goldberg,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,4,67,http://www.pulpmags.org/content/view/issues/railroad-mans-magazine.html
85,sas,contexts2,slick-insert,"std, (07.x10)",monthly,1934,adv,rom,Spicy Adventure Stories,Lawrence Cadman,"Culture Publications, Inc.",480 Lexington Ave.; 125 E. 46th St.,New York,NY,US,1,117,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
77,sau,pulpmags,pulp-paper,"std, (07.x10)",monthly,1916,rom,sex,Saucy Stories,Wyndham Martyn,Inter-Continental Publishing Corp.,25 W. 45th St.,New York,NY,US,2,129,http://www.pulpmags.org/content/view/issues/saucy-stories.html
78,scr,contexts3,book-paper,"std, (07.x10)",monthly,1887,gen,ant,Scribner's Magazine,Edward L. Burlingame,Charles Scribner's Sons,597-99 Fifth Ave.,New York,NY,US,1,617,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
79,sea,pulpmags,pulp-paper,"std, (07.x10)",monthly,1922,sea,adv,Sea Stories Magazine,H.W. Ralston,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,138,http://www.pulpmags.org/content/view/issues/sea-stories-magazine.html
76,sep,contexts3,slick-paper,"ovr, (11.x14)",weekly,1821,gen,ant,"Saturday Evening Post, The",George Horace Lorimer,Curtis Publishing Co.,425 Arch St.,Philadelphia,PA,US,1,999,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
80,sho,pulpmags,pulp-paper,"std, (07.x10)",monthly,1890,ant,var,Short Stories,Harry E. Maule,"Doubleday, Page & Co.",501 Franklin Ave.,Garden City,NY,US,4,1114,http://www.pulpmags.org/content/view/issues/short-stories.html
81,sma,contexts3,mixed-grade,"std, (07.x10)",monthly,1900,smf,var,"Smart Set, The","H.L. Mencken, George Jean Nathan","Smart Set Company, Inc.",25 W. 45th St.,New York,NY,US,1,365,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
82,smi,contexts3,mixed-grade,"std, (07.x10)",monthly,1905,gen,ant,Smith's Magazine,Charles Agnew Maclean; Theodore Dreiser,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,203,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
84,sna,pulpmags,pulp-paper,"std, (07.x10)",fortnightly,1912,rom,sex,Snappy Stories,Virginia O'Day,New Fiction Publishing Co.,35-37 W. 39th St.,New York,NY,US,1,321,http://www.pulpmags.org/content/view/issues/snappy-stories.html
